Small,Giant
-3.347584904,-3.789570708
-8.622718649,-7.220043136
-13.62913283,-18.04674535
-4.624559839,-13.02961995
-3.368601577,-19.74105237
-2.473515853,-14.41853698
-0.700467305,
-3.403680904,-14.95572702
-8.081738107,-4.580759988
-2.204111686,
-1.739997861,-3.935570149
-4.325229566,
-4.546173557,-4.615291882
,
-2.891234114,-10.93109472
-9.360658516,-9.099827111
-2.241084127,-4.833460634
-5.266269105,-7.265770763
-5.525686778,-13.00775116
-2.585610736,-8.256020786
,
-6.701850582,-9.931404041
-3.671789388,
-4.213256358,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
