diameter,Vmb
312.0892354,
342.8826683,-27.6512
224.4503214,
0,
280.9381553,
223.0403843,-24.8687
155.5033708,
212.0916603,
309.2774943,
253.1192863,-38.0629
477.5354068,
177.7055739,
196.5170166,-12.6591
246.641602,
208.083962,
165.5401962,
282.961963,
238.3888289,
201.4642548,
218.646386,-36.0233
251.5931942,-31.8666
252.6063201,
211.6014988,
259.8980548,
259.4981678,
240.3358035,
346.8555676,
284.8135298,
374.4178053,
0,
127.1760885,
159.6864328,
1798.877934,-64.2356
578.8920114,
629.8001606,-30.1532
129.7070938,
150.1896584,
0,
0,
607.3801935,-35.448
1013.492573,-37.8978
1602.115826,-66.6443
308.965864,-36.6047
1574.665196,-64.7224
0,
171.0354111,-27.73
152.4243901,-23.5497
917.0543824,
2160.879483,-41.5927
2096.814834,-70.6036
2197.369194,
132.3241967,-13.7765
137.5370275,-21.2947
129.5375842,-13.3602
0,
0,
999.3565204,
686.1830263,-35.9496
166.316468,-23.9176
643.0309093,-33.4719
657.7440392,-27.9965
1393.463112,-46.1855
1138.500444,-50.894
1634.92389,-40.5334
820.971643,-44.3579
198.9063229,-29.6715
172.2684965,-17.6159
136.7938716,-12.8629
149.8791979,-28.7127
131.3473373,-26.156
1292.833851,-63.9074
2291.663262,-60.5297
1860.276521,-62.139
1708.102899,-56.5358
819.6010093,-64.9118
740.6707429,-40.1527
618.3057754,-44.1673
2034.337723,-66.4523
439.9598067,-44.5118
551.6582564,-61.7503
891.7676954,-61.0072
142.9946525,-15.7349
149.031307,-20.0947
203.9180328,
264.6630403,-23.3023
163.8342524,
150.8703188,-20.0128
202.9513033,-32.605
208.4036828,
221.8027442,
240.7481493,-28.1563
187.9160277,-20.9743
230.5455326,-17.0505
111.8004555,
196.146225,-7.46767
264.0578494,
292.831939,-30.4184
502.2090082,-26.058
346.0242072,-17.5806
282.6609088,
177.4774015,
219.1341402,
361.7353942,
336.4734824,-26.1146
399.4229788,
144.0946645,
176.3401504,
497.67919,-34.6355
592.4869858,-34.5788
0,
467.7257396,-32.2866
0,
211.6917491,-24.0605
182.6661379,-19.858
171.8755651,-33.8845
356.0931255,-25.8763
190.54195,
0,
191.8457858,
541.9638875,
862.971952,-41.0572
579.9176643,-31.697
218.0701739,
159.8029236,
626.4112624,-35.265
221.385864,-20.6991
707.8624422,-43.7045
1006.731545,-47.5002
572.2287391,
232.3639995,-36.7772
1399.165667,-51.5905
142.7467523,-29.7023
335.7494614,-11.8331
147.2586295,-34.5636
194.0986842,
880.6885321,-66.2916
811.744613,-36.1428
153.0833342,-16.1112
3158.755061,-63.6793
161.6004423,-18.4592
163.9158678,-15.0983
449.2244018,
1313.352951,-47.8463
281.5391817,-23.3332
248.552981,-14.8782
252.6427742,-17.5407
208.0200472,-16.3127
506.0645238,-33.1959
225.327469,-15.5987
676.0341787,-30.8958
239.789029,
466.286302,
584.7346202,
577.187446,-32.9023
956.3311926,
255.4352061,
169.705144,
1071.725745,
309.7764294,-16.1432
283.2303642,
391.6222223,
371.5424187,-29.817
204.6212608,-27.6429
516.3282924,-43.7864
1858.439557,-54.025
